10-22-2025 15:52:19 RAM 14676/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,1%@1651,4%@1651,2%@1651,1%@729,0%@729,0%@729,5%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.625C soc2@40.312C soc0@40.812C gpu@39.656C tj@43.625C soc1@40.187C VDD_GPU_SOC 2398mW/2398mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2813mW/2813mW
10-22-2025 15:52:30 RAM 14684/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,8%@1728,2%@1728,24%@1728,50%@729,8%@729,1%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.906C soc2@40.406C soc0@40.906C gpu@39.875C tj@43.906C soc1@40.25C VDD_GPU_SOC 2797mW/2264mW VDD_CPU_CV 1199mW/532mW VIN_SYS_5V0 3321mW/2663mW
10-22-2025 15:52:31 RAM 14684/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [89%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 33%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.593C soc2@40.437C soc0@40.812C gpu@39.687C tj@43.593C soc1@40.187C VDD_GPU_SOC 2797mW/2305mW VDD_CPU_CV 1199mW/584mW VIN_SYS_5V0 3315mW/2713mW
10-22-2025 15:52:33 RAM 14684/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [83%@1728,5%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 29%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.875C soc2@40.312C soc0@40.843C gpu@39.687C tj@43.875C soc1@40.187C VDD_GPU_SOC 2797mW/2341mW VDD_CPU_CV 1199mW/628mW VIN_SYS_5V0 3315mW/2756mW
10-22-2025 15:52:34 RAM 14684/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [51%@1728,40%@1728,1%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 29%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.781C soc2@40.375C soc0@40.781C gpu@39.781C tj@43.781C soc1@40.187C VDD_GPU_SOC 2797mW/2371mW VDD_CPU_CV 1199mW/666mW VIN_SYS_5V0 3321mW/2794mW
10-22-2025 15:52:35 RAM 14686/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [83%@1728,6%@1728,0%@1728,0%@1728,1%@1497,3%@1497,2%@1497,0%@1497,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.031C soc2@40.375C soc0@40.812C gpu@39.656C tj@44.031C soc1@40.312C VDD_GPU_SOC 2797mW/2398mW VDD_CPU_CV 1199mW/699mW VIN_SYS_5V0 3321mW/2827mW
10-22-2025 15:52:36 RAM 14687/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [68%@1728,22%@1728,0%@1728,0%@1728,1%@729,0%@729,0%@729,2%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.812C soc2@40.406C soc0@40.906C gpu@39.75C tj@43.812C soc1@40.218C VDD_GPU_SOC 2797mW/2421mW VDD_CPU_CV 1199mW/728mW VIN_SYS_5V0 3315mW/2856mW
10-22-2025 15:52:37 RAM 14687/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [19%@1728,70%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.718C soc2@40.343C soc0@40.843C gpu@39.75C tj@43.718C soc1@40.187C VDD_GPU_SOC 2797mW/2442mW VDD_CPU_CV 1199mW/755mW VIN_SYS_5V0 3321mW/2881mW
10-22-2025 15:52:38 RAM 14687/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [16%@1728,74%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.468C soc2@40.375C soc0@40.812C gpu@39.75C tj@43.468C soc1@40.281C VDD_GPU_SOC 2797mW/2461mW VDD_CPU_CV 1199mW/778mW VIN_SYS_5V0 3315mW/2904mW
10-22-2025 15:52:39 RAM 14687/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,86%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.562C soc2@40.343C soc0@41C gpu@39.718C tj@43.562C soc1@40.25C VDD_GPU_SOC 2797mW/2477mW VDD_CPU_CV 1199mW/799mW VIN_SYS_5V0 3215mW/2920mW
10-22-2025 15:52:40 RAM 14690/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,60%@1728,28%@1728,0%@1728,0%@1497,2%@1497,0%@1497,1%@1497,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.843C soc2@40.343C soc0@40.906C gpu@39.781C tj@43.843C soc1@40.218C VDD_GPU_SOC 2797mW/2493mW VDD_CPU_CV 1199mW/818mW VIN_SYS_5V0 3321mW/2939mW
10-22-2025 15:52:41 RAM 14690/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,0%@1728,88%@1728,0%@1728,0%@729,4%@729,1%@729,1%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.593C soc2@40.375C soc0@40.812C gpu@39.656C tj@43.593C soc1@40.218C VDD_GPU_SOC 2797mW/2507mW VDD_CPU_CV 1199mW/835mW VIN_SYS_5V0 3315mW/2956mW
10-22-2025 15:52:42 RAM 14690/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,87%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.687C soc2@40.406C soc0@40.843C gpu@40C tj@43.687C soc1@40.343C VDD_GPU_SOC 2797mW/2519mW VDD_CPU_CV 1199mW/851mW VIN_SYS_5V0 3315mW/2972mW
10-22-2025 15:52:43 RAM 14690/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,65%@1728,22%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.5C soc2@40.375C soc0@40.937C gpu@40C tj@43.5C soc1@40.25C VDD_GPU_SOC 2797mW/2531mW VDD_CPU_CV 1199mW/866mW VIN_SYS_5V0 3321mW/2986mW
10-22-2025 15:52:44 RAM 14690/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@1728,90%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.781C soc2@40.312C soc0@40.843C gpu@39.968C tj@43.781C soc1@40.218C VDD_GPU_SOC 2797mW/2541mW VDD_CPU_CV 1199mW/879mW VIN_SYS_5V0 3315mW/2999mW
10-22-2025 15:52:45 RAM 14691/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,0%@1728,87%@1728,0%@1728,0%@1497,1%@1497,0%@1497,0%@1497,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.812C soc2@40.312C soc0@40.843C gpu@39.937C tj@43.812C soc1@40.156C VDD_GPU_SOC 2797mW/2551mW VDD_CPU_CV 1199mW/891mW VIN_SYS_5V0 3315mW/3011mW
10-22-2025 15:52:46 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [54%@1728,8%@1728,29%@1728,0%@1728,1%@729,2%@729,4%@729,4%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.625C soc2@40.406C soc0@40.843C gpu@40C tj@43.625C soc1@40.406C VDD_GPU_SOC 2797mW/2560mW VDD_CPU_CV 1199mW/903mW VIN_SYS_5V0 3321mW/3023mW
10-22-2025 15:52:47 RAM 14693/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@1728,81%@1728,0%@1728,0%@1728,0%@729,1%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.562C soc2@40.343C soc0@40.937C gpu@39.937C tj@43.562C soc1@40.25C VDD_GPU_SOC 2797mW/2569mW VDD_CPU_CV 1199mW/913mW VIN_SYS_5V0 3321mW/3034mW
10-22-2025 15:52:48 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@1728,83%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.031C soc2@40.437C soc0@40.968C gpu@39.75C tj@44.031C soc1@40.312C VDD_GPU_SOC 2797mW/2577mW VDD_CPU_CV 1199mW/923mW VIN_SYS_5V0 3315mW/3043mW
10-22-2025 15:52:49 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@1728,84%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 33%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.781C soc2@40.531C soc0@40.875C gpu@39.656C tj@43.781C soc1@40.187C VDD_GPU_SOC 2797mW/2584mW VDD_CPU_CV 1199mW/932mW VIN_SYS_5V0 3321mW/3053mW
10-22-2025 15:52:50 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [29%@1728,44%@1728,15%@1728,0%@1728,0%@1497,0%@1497,0%@1497,11%@1497,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.812C soc2@40.375C soc0@40.875C gpu@39.687C tj@43.812C soc1@40.25C VDD_GPU_SOC 2797mW/2591mW VDD_CPU_CV 1598mW/954mW VIN_SYS_5V0 3321mW/3061mW
10-22-2025 15:52:51 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,0%@1728,87%@1728,0%@1728,4%@729,2%@729,2%@729,3%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.468C soc2@40.406C soc0@41.031C gpu@39.75C tj@43.468C soc1@40.312C VDD_GPU_SOC 2797mW/2597mW VDD_CPU_CV 1199mW/961mW VIN_SYS_5V0 3315mW/3069mW
10-22-2025 15:52:52 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [67%@1728,0%@1728,23%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.531C soc2@40.531C soc0@40.937C gpu@39.687C tj@43.531C soc1@40.218C VDD_GPU_SOC 2797mW/2603mW VDD_CPU_CV 1199mW/969mW VIN_SYS_5V0 3315mW/3077mW
10-22-2025 15:52:53 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [71%@1728,0%@1728,17%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 31%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.781C soc2@40.468C soc0@40.906C gpu@39.812C tj@43.781C soc1@40.218C VDD_GPU_SOC 2798mW/2609mW VDD_CPU_CV 1199mW/975mW VIN_SYS_5V0 3215mW/3081mW
10-22-2025 15:52:54 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [78%@1728,13%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 33%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.625C soc2@40.406C soc0@40.906C gpu@39.75C tj@43.625C soc1@40.343C VDD_GPU_SOC 2797mW/2614mW VDD_CPU_CV 1199mW/982mW VIN_SYS_5V0 3315mW/3087mW
10-22-2025 15:52:55 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@1728,80%@1728,0%@1728,0%@1728,2%@1420,0%@1420,0%@1420,0%@1420,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.843C soc2@40.562C soc0@41.031C gpu@39.843C tj@43.843C soc1@40.25C VDD_GPU_SOC 2798mW/2620mW VDD_CPU_CV 1199mW/988mW VIN_SYS_5V0 3321mW/3094mW
10-22-2025 15:52:56 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [63%@1728,27%@1728,0%@1728,0%@1728,5%@729,5%@729,2%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.656C soc2@40.562C soc0@40.906C gpu@39.812C tj@43.656C soc1@40.281C VDD_GPU_SOC 2797mW/2624mW VDD_CPU_CV 1199mW/994mW VIN_SYS_5V0 3315mW/3100mW
10-22-2025 15:52:57 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [90%@1728,0%@1728,0%@1728,1%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.625C soc2@40.531C soc0@40.937C gpu@39.843C tj@43.625C soc1@40.218C VDD_GPU_SOC 2797mW/2629mW VDD_CPU_CV 1199mW/999mW VIN_SYS_5V0 3315mW/3105mW
10-22-2025 15:52:58 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [24%@1728,66%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.625C soc2@40.406C soc0@40.843C gpu@39.812C tj@43.625C soc1@40.312C VDD_GPU_SOC 2798mW/2633mW VDD_CPU_CV 1199mW/1004mW VIN_SYS_5V0 3321mW/3111mW
10-22-2025 15:52:59 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [22%@1728,66%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.875C soc2@40.531C soc0@41.031C gpu@39.781C tj@43.875C soc1@40.312C VDD_GPU_SOC 2797mW/2637mW VDD_CPU_CV 1199mW/1009mW VIN_SYS_5V0 3315mW/3116mW
10-22-2025 15:53:00 RAM 14692/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [90%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.718C soc2@40.5C soc0@40.906C gpu@39.843C tj@43.718C soc1@40.187C VDD_GPU_SOC 2797mW/2641mW VDD_CPU_CV 1199mW/1014mW VIN_SYS_5V0 3315mW/3121mW
10-22-2025 15:53:01 RAM 14694/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [23%@1728,62%@1728,0%@1728,0%@1728,4%@729,5%@729,0%@729,5%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.75C soc2@40.468C soc0@40.875C gpu@39.781C tj@43.75C soc1@40.343C VDD_GPU_SOC 2797mW/2645mW VDD_CPU_CV 1199mW/1018mW VIN_SYS_5V0 3321mW/3126mW
10-22-2025 15:53:02 RAM 14694/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [48%@1728,41%@1728,0%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 35%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.781C soc2@40.593C soc0@41C gpu@39.781C tj@43.531C soc1@40.25C VDD_GPU_SOC 2798mW/2648mW VDD_CPU_CV 1199mW/1022mW VIN_SYS_5V0 3315mW/3130mW
